 	A	-	D	P	L	J	U	N	H	F	G	C	S	T	O	I	E	Q	M	V	K
1140465.5000000007	0	1	0	0	3	1	0	0	0	1	1	0	4	2	0	1	4	0	0	3	2
1152470.4000000006	0	2	1	0	2	1	0	0	0	0	1	3	4	0	0	1	1	0	0	0	1
1164475.3000000005	0	1	1	0	0	1	0	0	0	0	0	3	9	0	0	0	1	0	1	0	0
1176480.2000000004	0	0	0	7	0	2	0	0	0	0	2	1	7	0	0	0	2	0	1	2	1
1188485.1000000003	0	0	0	7	3	2	0	0	0	1	5	2	3	0	0	0	1	1	1	2	2
1200490.0000000002	0	0	0	0	4	1	0	0	2	1	5	1	5	2	0	0	0	1	1	0	2
1212494.9000000001	0	2	0	1	1	0	0	0	4	1	2	1	5	2	0	0	0	0	1	0	2
1224499.8	0	2	3	1	2	0	0	0	2	1	0	2	3	0	0	0	1	0	1	0	2
1236504.7	0	0	3	4	3	1	0	0	0	3	1	1	2	0	1	0	2	0	0	0	2
1248509.5999999999	0	2	0	4	4	1	0	0	0	3	1	0	7	0	1	0	1	0	0	0	4
1260514.4999999998	0	5	0	0	5	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	3
1272519.3999999997	0	5	1	0	2	0	0	0	0	1	0	0	12	0	0	0	0	0	2	0	0
1284524.2999999996	0	2	1	1	2	0	0	0	0	0	3	0	9	0	0	0	1	0	3	0	1
1296529.1999999995	0	0	0	1	2	0	0	0	1	0	13	0	2	1	0	0	1	0	1	0	2
1308534.0999999994	0	0	0	0	0	1	2	0	1	1	10	0	3	1	0	0	2	0	0	0	1
1320538.9999999993	0	0	0	1	0	2	2	0	0	4	0	0	6	0	0	0	4	0	0	0	2
1332543.8999999992	0	1	0	1	5	1	0	0	0	4	0	0	8	1	0	0	2	0	3	0	2
1344548.799999999	0	3	1	1	5	1	0	0	0	2	0	0	6	2	0	0	0	0	5	0	2
1356553.699999999	0	2	1	1	0	4	0	0	1	1	1	1	6	1	0	3	0	0	2	0	2
1368558.599999999	0	1	0	0	0	4	0	0	1	1	1	3	7	0	0	3	2	0	0	0	1
1380563.4999999988	0	1	0	0	1	1	0	0	0	2	4	3	4	0	1	0	2	0	0	0	2
1392568.3999999987	0	1	0	1	1	0	0	0	0	6	6	1	5	0	1	0	2	0	1	0	2
1404573.2999999986	0	1	0	1	0	0	0	0	0	9	4	0	5	0	1	0	2	0	4	3	2
